trade_date,close,open,high,low,vol,pct_chg
20141229,4790.48,4706.56,4857.49,4664.3,24.95K,3.33
20141203,4430.98,4333.66,4539.11,4328.39,25.76K,2.77
20141230,4744.98,4773.31,4881.65,4694.02,17.36K,-0.95
20141231,5011.71,4743.94,5011.71,4724.31,20.74K,5.62
20141204,4603.67,4434.42,4619.69,4413.79,21.08K,3.9
20141205,4472.7,4649.61,4662.97,4360.97,24.34K,-2.84
20141208,4658.27,4445.07,4676.05,4392.65,23.08K,4.15
20141209,4416.56,4598.18,4837.13,4408.47,28.59K,-5.19
20140210,3043.71,2973.35,3049.26,2973.35,6.18K,2.59
20140211,3050.53,3043.53,3067.88,3026.24,6.70K,0.22
20140212,3060.28,3047.77,3060.81,3035.65,6.12K,0.32
20140213,3020.3,3057.22,3059.65,3020.16,6.08K,-1.31
20140214,3043.39,3022.77,3043.39,3005.67,5.53K,0.76
20140217,3052.84,3052.36,3062.49,3032.69,6.29K,0.31
20140218,3022.36,3050.12,3050.12,3013.46,6.11K,-1.0
20140219,3059.29,3017.52,3069.65,3011.45,6.73K,1.22
20140220,3019.99,3062.84,3080.49,3019.12,6.43K,-1.28
20140221,2977.19,3011.36,3025.76,2955.22,5.16K,-1.42
20140224,2823.56,2939.8,2939.8,2813.47,7.99K,-5.16
20140225,2766.05,2825.18,2832.41,2753.39,6.93K,-2.04
20140226,2785.32,2759.99,2786.02,2741.81,4.93K,0.7
20140227,2737.47,2790.8,2802.98,2731.58,4.91K,-1.72
20140228,2794.82,2738.41,2794.82,2725.76,4.12K,2.1
20140207,2966.86,2921.17,2966.86,2906.71,3.33K,0.74
20140310,2752.78,2825.7,2825.7,2741.88,5.63K,-3.33
20140311,2809.03,2750.38,2826.41,2745.46,6.77K,2.04
20140312,2874.0,2799.89,2906.18,2792.32,9.74K,2.31
20140313,2890.89,2864.24,2901.18,2849.44,7.58K,0.59
20140314,2871.21,2881.89,2916.35,2854.58,7.06K,-0.68
20140317,2935.42,2886.36,2935.59,2886.36,7.31K,2.24
20140318,2918.18,2930.51,2932.49,2895.61,6.67K,-0.59
20140319,2909.64,2905.25,2910.7,2858.32,8.38K,-0.29
20140320,2901.64,2913.26,2979.54,2901.64,10.20K,-0.27
20140321,3031.31,2883.42,3037.91,2882.0,13.48K,4.47
20140324,3122.4,3037.54,3134.69,3030.77,14.44K,3.0
20140325,3079.88,3104.44,3135.38,3064.9,12.34K,-1.36
20140326,3073.63,3083.95,3091.8,3054.89,8.15K,-0.2
20140327,3093.3,3064.38,3144.41,3054.61,10.69K,0.64
20140328,3085.08,3096.03,3140.11,3079.56,10.89K,-0.27
20140303,2795.59,2789.05,2796.42,2770.92,4.73K,0.03
20140331,3075.33,3097.38,3114.79,3043.24,6.89K,-0.32
20140304,2836.64,2815.58,2841.06,2804.88,7.31K,1.47
20140305,2795.48,2839.77,2839.77,2792.75,5.09K,-1.45
20140306,2895.97,2797.2,2922.97,2775.03,9.78K,3.59
20140307,2847.72,2891.71,2906.89,2840.55,6.70K,-1.67
20140401,3113.26,3077.76,3115.35,3058.81,6.56K,1.23
20140410,3160.83,3181.08,3181.23,3130.48,9.88K,-0.65
20140411,3129.07,3144.33,3144.33,3115.98,6.83K,-1.0
20140414,3147.93,3117.38,3153.19,3111.33,6.21K,0.6
20140415,3094.99,3135.22,3135.22,3088.78,6.66K,-1.68
20140416,3098.51,3086.2,3113.88,3083.22,5.42K,0.11
20140417,3076.01,3101.9,3108.73,3075.74,5.25K,-0.73
20140418,3071.88,3068.59,3080.1,3057.24,4.19K,-0.13
20140402,3206.84,3115.19,3237.48,3115.19,14.26K,3.01
20140421,3022.11,3054.83,3081.87,3022.11,5.25K,-1.62
20140422,3031.35,3015.22,3031.35,2986.91,4.92K,0.31
20140423,3020.85,3020.2,3039.33,3013.41,3.73K,-0.35
20140424,3034.21,3017.73,3077.92,3007.22,5.89K,0.44
20140425,2998.82,3042.23,3073.1,2995.8,7.39K,-1.17
20140428,2970.54,2994.22,3026.08,2965.61,10.38K,-0.94
20140429,2975.61,2962.47,2982.14,2935.32,4.91K,0.17
20140403,3157.36,3205.11,3212.47,3138.05,10.93K,-1.54
20140430,2982.99,2968.09,2989.47,2962.05,3.70K,0.25
20140404,3158.86,3142.39,3171.68,3130.01,7.81K,0.05
20140408,3182.46,3147.09,3189.11,3133.92,7.78K,0.75
20140409,3181.47,3183.88,3197.05,3163.31,7.50K,-0.03
20140512,2897.72,2871.26,2900.6,2835.63,5.95K,1.57
20140513,2922.97,2899.81,2937.12,2897.75,5.47K,0.87
20140514,2953.34,2957.47,2985.9,2944.27,5.76K,1.04
20140515,2894.94,2941.56,2941.56,2894.94,4.33K,-1.98
20140516,2907.51,2883.55,2915.71,2881.91,3.89K,0.43
20140519,2889.55,2899.8,2900.67,2861.01,3.73K,-0.62
20140520,2894.1,2893.66,2905.55,2882.82,3.59K,0.16
20140521,2908.79,2880.51,2913.02,2857.63,3.55K,0.51
20140522,2931.8,2906.5,2969.15,2904.98,4.97K,0.79
20140523,3000.26,2938.77,3008.27,2934.67,6.03K,2.34
20140526,2999.27,3002.21,3008.38,2984.22,4.24K,-0.03
20140527,3000.09,2995.71,3012.21,2983.33,4.09K,0.03
20140528,3030.57,2998.48,3032.43,2992.39,5.09K,1.02
20140529,3028.87,3038.63,3058.85,3026.8,6.45K,-0.06
20140530,3009.45,3025.64,3029.78,2998.55,4.53K,-0.64
20140505,2949.62,2973.22,2973.22,2925.72,4.14K,-1.12
20140506,2936.34,2920.16,2947.41,2920.16,5.83K,-0.45
